UC_Survey,TEHSIL_Survey,DISTRICT_Survey,Column1,Google API Returned Value,UC_Shape,TEHSIL_Shape,DISTRICT_Shape
barj atari, ferozewala, sheikhupura,,"['Burj Attari, Sheikhupura, Punjab, Pakistan', 0.0, 31.5731184, 74.1956998]",dhameke,ferozewala,sheikhupura
barkat pura, faisalabad city, faisalabad,,"['Barkat Pura Waris Pura, Faisalabad, Punjab, Pakistan', 0.0, 31.3795961, 73.08848669999999]",faisalabad c,faisalabad city,faisalabad
baro, gujrat, gujrat,,"['Mall of Gujrat, Opp. Science College, G.T Road, Gujrat 50700, Allah Loke Colony, Gujrat, Punjab 50700, Pakistan', 0.0, 32.5763844, 74.0653224]",saroki,gujrat,gujrat
barthi taman bazdar, d.g khan (tribal area), dera ghazi khan,,"['Barthi, Dera Ghazi Khan, Punjab, Pakistan', 0.0, 30.552308, 70.3648974]",barthi,de-excluded area d.g khan,dera ghazi khan
basali, rawalpindi, rawalpindi,,"['Bassali, Rawalpindi, Punjab, Pakistan', 0.0, 33.39627420000001, 73.1371733]",None,rawalpindi tehsil,rawalpindi
bashandot, kallar sayaddan, rawalpindi,,"['Tehsil Kallar Syedan, Rawalpindi, Punjab, Pakistan', 0.0, 33.4126922, 73.48872879999999]",None,kahuta tehsil,rawalpindi
basir pur 1, depalpur, okara,,"['Basīrpur, Okara, Punjab, Pakistan', 0.0, 30.5779666, 73.8360251]",bhaun manzeb,depalpur,okara
basir pur 2, depalpur, okara,,"['Basīrpur, Okara, Punjab, Pakistan', 0.0, 30.5779666, 73.8360251]",bhaun manzeb,depalpur,okara
basti randan, jampur, rajanpur,,"['Jampur, Rajanpur, Punjab, Pakistan', 0.0, 29.6459464, 70.59193570000001]",kotla dewan,jampur,rajanpur
batail ganj, pakpattan, pakpattan,,"['Pākpattan, Pakpattan, Punjab, Pakistan', 0.0, 30.3572898, 73.38265849999999]",37/sp,pakpattan,pakpattan
batala colony, faisalabad city, faisalabad,,"['Batala Colony Faisalabad, Punjab, Pakistan', 0.0, 31.4004164, 73.103979]",faisalabad c,faisalabad city,faisalabad
bawa chak, faisalabad city, faisalabad,,"['Bawa Chack 120 JB, Faisalabad, Punjab, Pakistan', 0.0, 31.4776449, 73.0803713]",chak no. 195,faisalabad saddar,faisalabad
bazaid pur, kasur, kasur,,"['Bazidpur, Kasur, Punjab, Pakistan', 0.0, 31.01405029999999, 74.4716129]",huseen khane,kasur,kasur
begowala, sambrial, sialkot,,"['Begowala, Sialkot, Punjab, Pakistan', 0.0, 32.4373933, 74.2678169]",gojra,daska,sialkot
begowala (partly), sambrial, sialkot,,"['Begowala, Sialkot, Punjab, Pakistan', 0.0, 32.4373933, 74.2678169]",gojra,daska,sialkot
begum kot, lahore city, lahore,,"['Begum Kot Shahdara Town, Shahdara, Lahore, Punjab, Pakistan', 0.0, 31.6166787, 74.26708339999999]",kot begum,lahore,lahore
begum kot, ravi town, lahore,,"['Begum Kot Shahdara Town, Shahdara, Lahore, Punjab, Pakistan', 0.0, 31.6166787, 74.26708339999999]",kot begum,lahore,lahore
behal dagar, bhakkar, bhakkar,,"['Behal, Layyah, Punjab, Pakistan', 0.0, 31.4148785, 71.0081746]",behal,bhakkar,bhakkar
behrh wal kalan, pattoki, kasur,,"['Pattoki, Kasur, Punjab, Pakistan', 0.0, 31.0249373, 73.8479128]",chak 13,chunian,kasur
belawala, jatoi, muzaffargarh,,"['Jatoi, Muzaffargarh, Punjab, Pakistan', 0.0, 29.5068582, 70.85361639999999]",sabaiwala,jatoi,muzaffargarh
beroon kamalia, kamalia, toba tek singh,,"['Kamalia, Toba Tek Singh District, Punjab, Pakistan', 0.0, 30.7221821, 72.64468289999999]",kamalia town,kamalia,toba tek singh
beroon khudian, kasur, kasur,,"['Khudian - Kasur, Kasur, Punjab, Pakistan', 0.0, 31.1260412, 74.4143946]",kasur-2,kasur,kasur
besa, sarai alamgir, gujrat,,"['Sarai Alamgir, Gujrat, Punjab, Pakistan', 0.0, 32.9084868, 73.7654367]",sarai alamgi,sarai alamgir,gujrat
beur, kahuta, rawalpindi,,"['Kahuta, Rawalpindi, Punjab, Pakistan', 0.0, 33.5896138, 73.3885526]",None,kahuta tehsil,rawalpindi
bewal, gujar khan, rawalpindi,,"['Bewal, Rawalpindi, Punjab, Pakistan', 0.0, 33.338309, 73.448222]",None,gujar khan tehsil,rawalpindi
bhabhabrana, jhang, jhang,,"['Jhang, Punjab, Pakistan', 0.0, 31.27806829999999, 72.3316761]",civil station,jhang,jhang
bhadanah, gujar khan, rawalpindi,,"['Bhadana, Rawalpindi, Punjab, Pakistan', 0.0, 33.2897639, 73.3576065]",None,gujar khan tehsil,rawalpindi
bhagat pura, lahore city, lahore,,"['Bhagat Pura Bhagatpura, Lahore, Punjab, Pakistan', 0.0, 31.60418949999999, 74.3521356]",gujjar pura,lahore,lahore
bhagat pura, shalimar town, lahore,,"['Shalimar Bagh, Shalimar Chowk, Grand Trunk Road, Lahore, 54000, Pakistan', 0.0, 31.5855486, 74.3824473]",angori bagh,lahore,lahore
bhago wal, sialkot, sialkot,,"['Bhagowal, Sialkot, Punjab, Pakistan', 0.0, 32.4370003, 74.6707823]",badiana,pasrur,sialkot
bhakhi sharif, mandi bahauddin, mandi bahauddin,,"['Bhikhi Sharif, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.4970903, 73.42096769999999]",kadhar,mandi bahauddin,mandi bahauddin
bhalwal -i, bhalwal, sargodha,,"['Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.275141, 72.9047136]",8 nb,bhalwal,sargodha
bhalwal -ii, bhalwal, sargodha,,"['Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.275141, 72.9047136]",8 nb,bhalwal,sargodha
bhalwal -iii, bhalwal, sargodha,,"['Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.275141, 72.9047136]",8 nb,bhalwal,sargodha
bhalwal -iv, bhalwal, sargodha,,"['Bhalwal, Sargodha, Punjab, Pakistan', 0.0, 32.275141, 72.9047136]",8 nb,bhalwal,sargodha
bhaman, lahore city, lahore,,"['Bhaman Lahore, Punjab, Pakistan', 0.0, 31.5872166, 74.52728619999999]",minhala,lahore,lahore
bhaman, ravi town, lahore,,"['Bhaman Lahore, Punjab, Pakistan', 0.0, 31.5872166, 74.52728619999999]",minhala,lahore,lahore
bhamman uc, ravi town, lahore,,"['Kacha Ravi Rd, Daata Ganj Bakhsh Town, Lahore, Punjab, Pakistan', 0.0, 31.58886, 74.3044546]",bilal ganj,lahore,lahore
bhar thanwala, daska, sialkot,,"['Daska, Sialkot, Punjab, Pakistan', 0.0, 32.3362936, 74.36751679999999]",akbar,daska,sialkot
bharoki cheema, wazirabad, gujranwala,,"['Bharoke Cheema Rd, Wazirabad, Gujranwala, Punjab, Pakistan', 0.0, 32.4238325, 74.10530659999999]",ghaga miter,wazirabad,gujranwala
bhasin, lahore cantt, lahore,,"['Bhasin Lahore, Punjab, Pakistan', 0.0, 31.6371859, 74.5038469]",bhaseen,lahore,lahore
bhasin, wahga town, lahore,,"['Bhasin, Lahore, Punjab, Pakistan', 0.0, 31.6371859, 74.5038469]",bhaseen,lahore,lahore
bhata muhabat, depalpur, okara,,"['Bhata, Rawalpindi, Punjab, Pakistan', 0.0, 33.4211062, 73.30159739999999]",None,gujar khan tehsil,rawalpindi
bhatarta, sialkot, sialkot,,"['Sialkot, Punjab, Pakistan', 0.0, 32.4944991, 74.5228916]",hundal,sialkot,sialkot
bhathian, kotli sattian, rawalpindi,,"['Kotli Sattian, Rawalpindi, Punjab, Pakistan', 0.0, 33.8081622, 73.5255463]",None,kotli sattian tehsil,rawalpindi
bhati gate, lahore city, lahore,,"['Qadimi Shehr Kucha Faqirkhana Walled City, Lahore, Punjab 54000, Pakistan', 0.0, 31.5790041, 74.30891129999999]",anarkali,lahore,lahore
bhatti bhango, gujranwala, gujranwala,,"['Bhatti Bhango, Gujranwala, Punjab, Pakistan', 0.0, 32.2326646, 74.3088879]",talwandi mus,gujranwala saddar,gujranwala
bhatti bhango, nandi pur town, gujranwala,,"['Nandipur, Gujranwala, Punjab, Pakistan', 0.0, 32.2563141, 74.2637827]",bhatti bango,gujranwala saddar,gujranwala
bhattian, burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.15928389999999, 72.694262]",257/eb,burewala,vehari
bheeri khord, shaker garh, narowal,,"['Shakar Garh, Narowal, Punjab, Pakistan', 0.0, 32.25723900000001, 75.16037519999999]",malha,shakargarh,narowal
bheeri khord, shakargarh, narowal,,"['Shakar Garh, Narowal, Punjab, Pakistan', 0.0, 32.25723900000001, 75.16037519999999]",malha,shakargarh,narowal
bhela gulab singha, depalpur, okara,,"['Bhela, Pakpattan, Punjab, Pakistan', 0.0, 30.3432936, 73.5667744]",pir ghani,pakpattan,pakpattan
bhera -i, bhalwal, sargodha,,"['Bhera, Sargodha, Punjab, Pakistan', 0.0, 32.4770072, 72.91357339999999]",hazur pur,bhalwal,sargodha
bhera -ii, bhalwal, sargodha,,"['Bhera, Sargodha, Punjab, Pakistan', 0.0, 32.4770072, 72.91357339999999]",hazur pur,bhalwal,sargodha
bhianwala kalan, ferozewala, sheikhupura,,"['Ferozewala, Sheikhupura, Punjab, Pakistan', 0.0, 31.6478908, 74.2840547]",faisal park,lahore,lahore
bhianwala kalan, muridke, sheikhupura,,"['Bhianwala kalan, UC M, 25 GT Rd, Canal Park, Muridke, Sheikhupura, Punjab, Pakistan', 0.0, 31.791498, 74.2558968]",noon,ferozewala,sheikhupura
bhimber kalan, kot radha kishen, kasur,,"['Bhimber', 0.0, 32.9753066, 74.0858207]",Not Found,Not Found,Not Found
bhon fazbla, depalpur, okara,,"['Depalpur, Okara, Punjab, Pakistan', 0.0, 30.6769981, 73.6477342]",qila javed s,depalpur,okara
bhoochal kalan, kallar kahar, chakwal,,"['Buchal Kalān, Chakwal, Punjab, Pakistan', 0.0, 32.6792196, 72.63581340000002]",noorpur,chakwal,chakwal
bhopewal chak no. 23, pattoki, kasur,,"['Chak No 23, Sargodha, Punjab, Pakistan', 0.0, 32.038763, 72.9180032]",23 asb,sargodha,sargodha
bi bi pak daman, gulberg town, lahore,,"['Bibi Pak Daman Road, Muhammad Nagar Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5629565, 74.34004639999999]",bibi pak daman,lahore,lahore
bi bi pak daman, lahore city, lahore,,"['Bibi Pak Daman Road, Muhammad Nagar Garhi Shahu, Lahore, Punjab, Pakistan', 0.0, 31.5629565, 74.34004639999999]",bibi pak daman,lahore,lahore
bilal ganj uc, data gb town, lahore,,"['Bilal Ganj Lahore, Punjab, Pakistan', 0.0, 31.5802931, 74.3011878]",jinnah hall,lahore,lahore
bilal gunj, lahore city, lahore,,"['Bilal Ganj Lahore, Punjab, Pakistan', 0.0, 31.5802931, 74.3011878]",jinnah hall,lahore,lahore
bilanwala, sialkot, sialkot,,"['Ballan Wala, Sialkot, Punjab, Pakistan', 0.0, 32.5428426, 74.51776439999999]",parag pur,sialkot,sialkot
bindyal, khushab, khushab,,"['Bandyal, Khushab, Punjab, Pakistan', 0.0, 32.3509809, 71.82748459999999]",bandyal,quaidabad,khushab
block 06, jahanian, khanewal,,"['Block 06 Chichawatni, Sahiwal District, Punjab, Pakistan', 0.0, 30.5282645, 72.68643910000002]",45/12-l,chichawatni,sahiwal
bokan, jhelum, jhelum,,"['Bokan Dakhli Adrana, Jhelum, Punjab, Pakistan', 0.0, 32.9797243, 73.4515365]",sohan,jhelum,jhelum
bokhara, jampur, rajanpur,,"['Bukhara, Uzbekistan', 0.0, 39.7680827, 64.4555769]",Not Found,Not Found,Not Found
bopra kalan, nowshera virkan, gujranwala,,"['Nowshera Virkan, Gujranwala, Punjab, Pakistan', 0.0, 31.96295739999999, 73.97418739999999]",kartar pur m,naushera virkan,gujranwala
bosal sukha, malakwal, mandi bahauddin,,"['Busal Sukha, Busal, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.3691131, 73.2986492]",gojra,malikwal,mandi bahauddin
botala jhanda singh, gujranwala, gujranwala,,"['Botala Sardar Jhanda Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.180682, 73.9785952]",ugo chak,gujranwala saddar,gujranwala
botala jhanda singh, qila dedar singh town, gujranwala,,"['Botala Sardar Jhanda Sing Rd, Qila Didar Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.1375556, 74.0235106]",qila didar s,gujranwala saddar,gujranwala
botala sharam singh, gujranwala, gujranwala,,"['Butala Sharm Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.0991494, 74.2487451]",sansra goria,gujranwala saddar,gujranwala
botala sharam singh, khiali shah pur town, gujranwala,,"['Butala Sharm Singh, Gujranwala, Punjab, Pakistan', 0.0, 32.0991494, 74.2487451]",sansra goria,gujranwala saddar,gujranwala
budha goraia, daska, sialkot,,"['Budha Goraya, Sialkot, Punjab, Pakistan', 0.0, 32.2632285, 74.4745435]",jharthan wal,daska,sialkot
budho, mailsi, vehari,,"['Budho Sharif, Sheikhupura, Punjab, Pakistan', 0.0, 31.5829026, 74.1016057]",marh bhan go,ferozewala,sheikhupura
butran wali, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
butran wali, gujranwala, gujranwala,,"['Gujranwala, Punjab, Pakistan', 0.0, 32.1876919, 74.1944529]",gujranwala c,gujranwala city,gujranwala
cantt khel, gujar khan, rawalpindi,,"['Gujar Khan, Rawalpindi, Punjab, Pakistan', 0.0, 33.2615676, 73.3057508]",None,gujar khan tehsil,rawalpindi
canttonment, aroop town, gujranwala,,"['Aroop, Gujranwala, Punjab, Pakistan', 0.0, 32.2214769, 74.2208673]",lohian wala,gujranwala saddar,gujranwala
cenima road, khanewal, khanewal,,"['Adu Baker Sadiqu Road, Khanewal, Punjab, Pakistan', 0.0, 30.304399, 71.9227961]",khanewal koh,khanewal,khanewal
chabba porana, bhalwal, sargodha,,"['Chaba Purana, Sargodha, Punjab, Pakistan', 0.0, 32.3379864, 72.9711542]",salam,bhalwal,sargodha
chachran, sadiqabad, rahim yar khan,,"['Sadiqabad, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.3110941, 70.1261227]",sadiqabad,sadiqabad,rahim yar khan
chack 10 ghagh, kabirwala, khanewal,,"['Chak 10, Khanewal, Punjab, Pakistan', 0.0, 30.3864434, 71.9705127]",nabi pur,kabirwala,khanewal
chack 15 d, kabirwala, khanewal,,"['Chak 15, Kasur, Punjab, Pakistan', 0.0, 31.09195, 74.0872892]",mandekay,chunian,kasur
chack 22 ghagh, kabirwala, khanewal,,"['Kabirwala, Khanewal, Punjab, Pakistan', 0.0, 30.4010623, 71.8630625]",kabirwala -,kabirwala,khanewal
chack 72/10r, khanewal, khanewal,,"['Chak 72/10R, Khanewal, Punjab, Pakistan', 0.0, 30.2604097, 71.9905165]",36/10-r,khanewal,khanewal
chack no 202 w b, mailsi, vehari,,"['Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.8812878, 72.0942187]",alampur,mailsi,vehari
chack no. a-10, liaquat pur, rahim yar khan,,"['Unnamed Road, چک نمبر 114 پی, Pakistan', 0.0, 28.3272236, 70.2897277]",rahim yar khan,rahim yar khan,rahim yar khan
chadru, mianwali, mianwali,,"['Mianwali, Punjab, Pakistan', 0.0, 32.5839229, 71.53702969999999]",yaru khel,mianwali,mianwali
chah mira, lahore city, lahore,,"['Chah Miran, Lahore, Punjab, Pakistan', 0.0, 31.58930579999999, 74.3426179]",wassanpura,lahore,lahore
chah sultan, rawalpindi, rawalpindi,,"['Chah Sultan Rawalpindi, Punjab, Pakistan', 0.0, 33.6211594, 73.07742019999999]",waris khan,rawalpindi tehsil,rawalpindi
chahan, rawalpindi, rawalpindi,,"['Chahan, Rawalpindi, Punjab, Pakistan', 0.0, 33.4231715, 72.8781322]",None,rawalpindi tehsil,rawalpindi
chak # 146 j.b, chiniot, chiniot,,"['Chak 146, Bahawalpur, Punjab, Pakistan', 0.0, 29.6031313, 72.67276749999999]",chak no. 177,chishtian,bahawalnagar
chak 1 p, khanpur, rahim yar khan,,"['Chak 1 P, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.6689069, 70.74286599999999]",jetha bhutta,khanpur,rahim yar khan
chak 102 eb, burewala, vehari,,"['Chak 102/EB, Vehari, Punjab, Pakistan', 0.0, 30.3066442, 72.7429652]",403/eb,burewala,vehari
chak 104/15 l, mian channu, khanewal,,"['Chak 104/15.L, Khanewal, Punjab, Pakistan', 0.0, 30.2740599, 72.2415606]",137/16-l,mian channu,khanewal
chak 108/15l, mian channu, khanewal,,"['Chak No. 108/15-L, Khanewal, Punjab, Pakistan', 0.0, 30.3487262, 72.2319376]",131/16-l,mian channu,khanewal
chak 116 eb, burewala, vehari,,"['Chak 116/EB, Vehari, Punjab, Pakistan', 0.0, 30.3160865, 72.6760931]",403/eb,burewala,vehari
chak 118 rb, sangla hill, nankana sahib,,"['Sangla Hill, Nankana Sahib, Punjab, Pakistan', 0.0, 31.7116523, 73.3885526]",langowal,safdarabad,sheikhupura
chak 119 rb, sangla hill, nankana sahib,,"['Chak 119, Layyah, Punjab, Pakistan', 0.0, 31.0540277, 71.0434624]",tail indus,layyah,layyah
chak 119 wb, mailsi, vehari,,"['Chak 119, Layyah, Punjab, Pakistan', 0.0, 31.0540277, 71.0434624]",tail indus,layyah,layyah
chak 12/8ar, mian channu, khanewal,,"['Mian Channu, Khanewal, Punjab, Pakistan', 0.0, 30.4390184, 72.3552112]",jarahi,mian channu,khanewal
chak 122 rb, sangla hill, nankana sahib,,"['Chak No 122/WB, Vehari, Punjab, Pakistan', 0.0, 30.0034309, 71.9490257]",100/wb (garh,mailsi,vehari
chak 134 eb, burewala, vehari,,"['Chak 134 EB, Vehari, Punjab, Pakistan', 0.0, 30.2470798, 72.628422]",499/eb,burewala,vehari
chak 14/8 r east, khanewal, khanewal,,"['Chak 14/8-R, Khanewal, Punjab, Pakistan', 0.0, 30.4568038, 72.12828429999999]",14/8-r,khanewal,khanewal
chak 142 eb, burewala, vehari,,"['Chak 142/EB, Vehari, Punjab, Pakistan', 0.0, 30.2158891, 72.58924379999999]",499/eb,burewala,vehari
chak 146 jb, chiniot, chiniot,,"['Chak 146, Bahawalpur, Punjab, Pakistan', 0.0, 29.6031313, 72.67276749999999]",chak no. 177,chishtian,bahawalnagar
chak 158 wb, mailsi, vehari,,"['Chak No 111 W B, Vehari, Punjab, Pakistan', 0.0, 29.9674603, 72.2060278]",karim wah,vehari,vehari
chak 168 rb, shah kot, nankana sahib,,"['Chak Number 168, Layyah, Punjab, Pakistan', 0.0, 30.8200565, 71.0846019]",164-a/t.d.a,layyah,layyah
chak  173 eb, burewala, vehari,,"['173EB, Pakpattan, Punjab, Pakistan', 0.0, 30.2757992, 72.90323699999999]",173/eb,burewala,vehari
chak 173 murad, chishtian, bahawalnagar,,"['Chak 173/M, Bahawalnagar, Punjab, Pakistan', 0.0, 29.6166129, 72.88477790000002]",chak no. 30/,haroonabad,bahawalnagar
chak 174 wb, vehari, vehari,,"['Chak 174 WB, Vehari, Punjab, Pakistan', 0.0, 30.0401102, 72.155682]",95/wb,vehari,vehari
chak 175 eb, burewala, vehari,,"['Chak 175 EB, Vehari, Punjab, Pakistan', 0.0, 30.2870122, 72.8825627]",173/eb,burewala,vehari
chak 175 rb, shah kot, nankana sahib,,"['Chak No. 175 R.B, Nankana Sahib, Punjab, Pakistan', 0.0, 31.599094, 73.616826]",manawala kir,sheikhupura,sheikhupura
chak 177wb, mailsi, vehari,,"['Mailsi, Vehari, Punjab, Pakistan', 0.0, 29.7921021, 72.1771541]",burana khas,mailsi,vehari
chak 18 rb, sangla hill, nankana sahib,,"['Rukh Mundeke Khurd, Kasur, Punjab, Pakistan', 0.0, 31.10182439999999, 74.0549812]",mandekay,chunian,kasur
chak 184 jb, bhawana, chiniot,,"['Bhawana, Chiniot, Punjab, Pakistan', 0.0, 31.5659069, 72.64468289999999]",kalri,lalian,chiniot
chak 187 eb, burewala, vehari,,"['Gaggoo Mandi, Vehari, Punjab, Pakistan', 0.0, 30.2268171, 72.8274438]",173/eb,burewala,vehari
chak 188wb, mailsi, vehari,,"['Chak No 188/WB, Vehari, Punjab, Pakistan', 0.0, 29.9865847, 72.0327425]",sandhal,mailsi,vehari
chak 191 eb, burewala, vehari,,"['Chak 191 EB, Vehari, Punjab, Pakistan', 0.0, 30.2543179, 72.805757]",173/eb,burewala,vehari
chak 194 wb, mailsi, vehari,,"['194/W.B, Vehari, Punjab, Pakistan', 0.0, 29.9757065, 72.01496379999999]",sandhal,mailsi,vehari
chak 195 jb, bhawana, chiniot,,"['Chak 195, Bahawalnagar, Punjab, Pakistan', 0.0, 29.36841769999999, 73.1489746]",chak no. 199,fortabbas,bahawalnagar
chak 201 eb, burewala, vehari,,"['Chak 201 EB, Vehari, Punjab, Pakistan', 0.0, 30.2015962, 72.7673451]",199/eb,burewala,vehari
chak 208 jb, bhawana, chiniot,,"['208 RB, Faisalabad, Punjab, Pakistan', 0.0, 31.4254166, 73.16593780000001]",chak no. 209,faisalabad saddar,faisalabad
chak 21 rb, sangla hill, nankana sahib,,"['Sangla Hill, Nankana Sahib, Punjab, Pakistan', 0.0, 31.7116523, 73.3885526]",langowal,safdarabad,sheikhupura
chak 213 wb, mailsi, vehari,,"['Chak 213 WB, Vehari, Punjab, Pakistan', 0.0, 29.8589203, 71.9794035]",ali wah,mailsi,vehari
chak 259 eb, burewala, vehari,,"['Dars Wali, Burewala, Vehari, Punjab, Pakistan', 0.0, 30.1707371, 72.7174746]",257/eb,burewala,vehari
chak 265 eb, burewala, vehari,,"['Chak 265/EB, Vehari, Punjab, Pakistan', 0.0, 30.1480424, 72.7643901]",257/eb,burewala,vehari
chak 289 eb, burewala, vehari,,"['Chak 289 EB, Vehari, Punjab, Pakistan', 0.0, 30.1239878, 72.8353005]",223/eb,burewala,vehari
chak 29 a, liaquat pur, rahim yar khan,,"['Chak 29 A Bara, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.912546, 70.9806851]",chak no 042/abs,liaquat pur,rahim yar khan
chak 317 eb, burewala, vehari,,"['Chak 317/EB, Vehari, Punjab, Pakistan', 0.0, 30.060264, 72.77251629999999]",287/eb,burewala,vehari
chak 327 eb, burewala, vehari,,"['Chak 327 EB, Vehari, Punjab, Pakistan', 0.0, 30.1024875, 72.71710519999999]",257/eb,burewala,vehari
chak 40 rb, sangla hill, nankana sahib,,"['Sangla Hill, Nankana Sahib, Punjab, Pakistan', 0.0, 31.7116523, 73.3885526]",langowal,safdarabad,sheikhupura
chak 403 eb, burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.15928389999999, 72.694262]",257/eb,burewala,vehari
chak 41 p, khanpur, rahim yar khan,,"['Chak 7/P, Rahim Yar Khan, Punjab, Pakistan', 0.0, 28.5890082, 70.6952872]",neel garh,khanpur,rahim yar khan
chak 41 rb, sangla hill, nankana sahib,,"['Chak 41, Sheikhupura, Punjab, Pakistan', 0.0, 31.7175207, 74.32868669999999]",baoli jamada,ferozewala,sheikhupura
chak 411 eb, burewala, vehari,,"['Burewala, Vehari, Punjab, Pakistan', 0.0, 30.15928389999999, 72.694262]",257/eb,burewala,vehari
chak 43/15 l, mian channu, khanewal,,"['Chak 43/15 L, Khanewal, Punjab, Pakistan', 0.0, 30.4850443, 72.4302529]",123/7er,mian channu,khanewal
chak 44 rb, shah kot, nankana sahib,,"['Shahkot, Nankana Sahib, Punjab, Pakistan', 0.0, 31.57574769999999, 73.4814918]",shahkot urba,safdarabad,sheikhupura
chak 45 kb, burewala, vehari,,"['Chak 45/KB, Vehari, Punjab, Pakistan', 0.0, 30.0036112, 72.69752369999999]",291/eb,burewala,vehari
chak 45 rb, sangla hill, nankana sahib,,"['Chak 45, Mandi Bahauddin, Punjab, Pakistan', 0.0, 32.3434367, 73.25147199999999]",busal,malikwal,mandi bahauddin
chak 451 eb, burewala, vehari,,"['Chak 451 Vehari, Punjab, Pakistan', 0.0, 30.1372547, 72.6509652]",yaqoobabad,burewala,vehari
